creator_account_id,country_iso,company_size,parent_company,Parent_Company_ID
0016e00002bVFJkAAO,DE,100-500,,
0016e00002f36L8AAI,DE,Unknown,,
0016e00002jiwfQAAQ,DE,Unknown,,
0016e00002jjJ5LAAU,CH,,Thoratec Switzerland GmbH,
0016e00002XNdpRAAT,RO,1000-10000,,
0016e00002XPPD1AAP,DE,Unknown,,
0016e00002zNfLyAAK,DE,Unknown,,
0016e00002zPwnrAAC,DE,<10,,
0016e000033mXHmAAM,RO,Unknown,,
0018X000031clHhQAI,DE,100-500,,
0018X000033bdTwQAI,DE,Unknown,,
0018X000034Y7AxQAK,DE,10-100,,
0018X000034YjlCQAS,DE,<10,,
0018X0000373Dt9QAE,RS,Unknown,,
0018X000039AJZ9QAO,DE,,,
0018X00003IbDCCQA3,HU,,,
0018X00003JBkvRQAT,DE,,,
0018X00003PZ2r6QAD,DE,,,
001i000001J6akoAAB,DE,100-500,,
001i000001J6axRAAR,AT,1000-10000,,
001i000001J6bDpAAJ,DE,10-100,,
001i000001J6bp4AAB,DE,100-500,,
001i000001J6gieAAB,DE,10-100,ebm-papst Mulfingen GmbH & Co. KG,
001i000001J6gIKAAZ,DE,Unknown,,
001i000001J6i67AAB,DE,1000-10000,Robert Bosch Power Tools GmbH (Gerlingen),
001i000001J6jtoAAB,DE,500-1000,,
001i000001J6k3AAAR,DE,Unknown,,
001i000001J6kWZAAZ,DE,Unknown,,
001i000001J6lSnAAJ,DE,500-1000,Webasto AG (DE - Stockdorf),
001i000001J6lYMAAZ,DE,500-1000,,
001i000001J6o5GAAR,DE,100-500,Robert Bosch Power Tools GmbH (Gerlingen),
001i000001J6PXVAA3,DE,Unknown,,
001i000001J6Q4AAAV,DE,100-500,BSH Hausger‰te GmbH (M¸nchen),
001i000001J6Q8RAAV,DE,1000-10000,,
001i000001J6QPkAAN,DE,100-500,SICK AG,
001i000001J6QPuAAN,CH,100-500,,
001i000001J6QUfAAN,CH,10-100,ABBOTT AG,
001i000001J6R4OAAV,DE,1000-10000,,
001i000001J6S8fAAF,CH,10-100,Helbling Technik AG,
001i000001J6SD6AAN,DE,Unknown,,
001i000001J6TSnAAN,DE,100-500,,
001i000001J6UFRAA3,DE,Unknown,,
001i000001J6VTJAA3,DE,100-500,,
001i000001J6YT1AAN,DE,10-100,,
001i000001J6ZykAAF,DE,10000-50000,,
001i000001J76OEAAZ,DE,Unknown,,
001i000001J8ZkmAAF,DE,50000-100000,BSH Hausger‰te GmbH (M¸nchen),
001i000001J8ZTyAAN,DE,Unknown,BSH Hausger‰te GmbH (M¸nchen),
001i000001KHfvEAAT,DE,10-100,Diehl Aviation Gilching GmbH,
001i000001KvNlBAAV,DE,1000-10000,Robert Bosch Power Tools GmbH (Gerlingen),
001i000001Kw3GMAAZ,DE,1000-10000,BSH Hausger‰te GmbH (M¸nchen),
001i000001Msja2AAB,DE,100001+,Robert Bosch Power Tools GmbH (Gerlingen),
001i000001Mt6GaAAJ,DE,Unknown,,
001i000001MtwquAAB,DE,100-500,,
001i000001Mu0fsAAB,DE,100-500,,
001i000001MuLOsAAN,CH,10-100,,
001i000001MvxQDAAZ,DE,1000-10000,,
001i000001O8XdcAAF,DE,1000-10000,,
001i000001PBj95AAD,DE,1000-10000,,001i000001Pinyg
001i000001Pin7aAAB,DE,Unknown,,
001i000001Pin7IAAR,DE,1000-10000,,
001i000001Pin7NAAR,DE,100-500,,
001i000001PinF8AAJ,HU,1000-10000,Robert Bosch Power Tools GmbH (Gerlingen),
001i000001PinGTAAZ,DE,100-500,,
001i000001PinSuAAJ,DE,Unknown,,
001i000001Pinw6AAB,DE,10-100,Helbling Technik AG,0013100001lbqYs
001i000001PioNZAAZ,DE,10-100,,
001i000001PioOWAAZ,GB,10-100,,0015A00002Px5FM
001i000001PioruAAB,DE,10-100,,001i000001PiqGs
001i000001PipmlAAB,DE,Unknown,,
001i000001PiprGAAR,PL,<10,,
001i000001PirK1AAJ,SI,1000-10000,,
001i000001PirSUAAZ,DE,Unknown,,
001i000001PirzqAAB,DE,<10,,
001i000001PisrCAAR,DE,10000-50000,,
001i000001PisrqAAB,DE,Unknown,ebm-papst Mulfingen GmbH & Co. KG,
001i000001PisRXAAZ,DE,100-500,,
001i000001PisswAAB,RO,1000-10000,,001i000001J6S44
001i000001PistGAAR,GB,Unknown,,
001i000001PisvvAAB,DE,100-500,,
001i000001PiszaAAB,DE,500-1000,,
001i000001Pit05AAB,DE,500-1000,ZF Automotive Germany GmbH (D¸sseldorf),
001i000001Pit15AAB,DE,Unknown,Robert Bosch Power Tools GmbH (Gerlingen),
001i000001TDxnFAAT,DE,Unknown,,
001i000001TxhrmAAB,DE,500-1000,,
001VW00000Hp0tqYAB,AT,,,
0013100001aFYwnAAG,CZ,500-1000,,
0013100001aGvBCAA0,DE,1000-10000,Dr‰ger Safety AG & Co KGaA,
0013100001bbCUDAA2,DE,10-100,,
0013100001d7Mo4AAE,DE,<10,,
0013100001ekjwpAAA,DE,Unknown,,001i000001J6vlu
0013100001ekP8FAAU,DE,Unknown,Denso Automotive Deutschland GmbH,
0013100001gaCgIAAU,DE,100-500,,
0013100001hniW9AAI,DE,500-1000,,
0013100001jb2XYAAY,DE,10-100,,
0013100001lcl1ZAAQ,DE,10-100,,
0013100001lcQxUAAU,CZ,1000-10000,,
0013100001mIL4zAAG,DE,10-100,,
0013100001mJGpFAAW,DE,Unknown,,
0013100001mzw8XAAQ,DE,10-100,,
0013100001oMzP7AAK,DE,Unknown,Vibracoustic AG & Co. KG,
0013100001qyL07AAE,DE,500-1000,,
0013100001syGbsAAE,GB,100-500,,
0015A00001ydm2VQAQ,DE,10-100,,0015A000029H0Mf
0015A00001yx9jkQAA,HU,100-500,Vibracoustic CV Air Springs GmbH,
0015A0000208buxQAA,DE,10-100,,
0015A000020d8PTQAY,GB,100-500,Carl Zeiss Meditec AG,001i000001QiBUz
0015A000022XzRJQA0,DE,Unknown,Carl Zeiss Meditec AG,
0015A000027eh4OQAQ,DE,10-100,,
0015A00002BUm4sQAD,DE,Unknown,,
0015A00002DOVM3QAP,DE,10-100,,
0015A00002J6F39QAF,AT,<10,,
0015A00002J7FbbQAF,DE,<10,,
0015A00002PwFmqQAF,DE,Unknown,,
0015A00002PwpzdQAB,DE,Unknown,,
0015A00002Px2NjQAJ,DE,Unknown,,
0015A00002PxRI1QAN,DE,500-1000,Carl Zeiss Jena GmbH,0015A00002Pw3S2
0015A00002PyNyHQAV,DE,100-500,,
0015A00002V9eSmQAJ,DE,Unknown,Roche Diagnostics Automation Solutions GmbH,
0015A00002VBZ8wQAH,DE,10-100,,
0016e00002jhoFdAAI,DE,10-100,,
0016e00002XP6yaAAD,DE,100-500,,
0018X000032gYIZQA2,DE,Unknown,,
0018X00003HpXdmQAF,ES,,,
0018X00003PEUnpQAH,DE,,,
001i000001J6a86AAB,DE,100-500,,
001i000001J6byuAAB,DE,Unknown,,
001i000001J6g1sAAB,DE,10-100,,
001i000001J6gehAAB,DE,500-1000,HELLA GmbH & Co. KGaA,
001i000001J6hFxAAJ,CZ,1000-10000,,
001i000001J6j1ZAAR,CH,100-500,Safran (DE),
001i000001J6jqaAAB,DE,500-1000,,
001i000001J6qFuAAJ,DE,100-500,HELLA GmbH & Co. KGaA,
001i000001J6QGVAA3,DE,100-500,,
001i000001J6QuFAAV,DE,Unknown,,
001i000001J6RlhAAF,DE,500-1000,,
001i000001J6TQrAAN,DE,10-100,,
001i000001J6vlBAAR,DE,100-500,Dr. Ing. h.c. F. Porsche AG,
001i000001J6VXLAA3,DE,<10,,
001i000001J6WWYAA3,DE,500-1000,,
001i000001J6X6IAAV,DE,500-1000,HELLA GmbH & Co. KGaA,
001i000001KHfE1AAL,DE,100-500,,
001i000001KI6KrAAL,DE,100-500,,
001i000001KIASHAA5,GB,Unknown,,
001i000001Ky7yLAAR,AT,Unknown,,
001i000001LtczGAAR,DE,100-500,,
001i000001Mt6DRAAZ,DE,100-500,,
001i000001MtiGtAAJ,DE,10000-50000,,
001i000001MtiO9AAJ,DE,500-1000,,
001i000001MtiVeAAJ,DE,100-500,,
001i000001PimvKAAR,DE,<10,,
001i000001Pin94AAB,DE,<10,,0015A00001yf1fT
001i000001PipSfAAJ,DE,10-100,,
001i000001Piq5ZAAR,DE,<10,,
001i000001PiqGdAAJ,DE,1000-10000,,
001i000001PiqGeAAJ,CH,10000-50000,,
