supplier_id,name,business_classification,technology_name,service_level_classification
149,Elvarem OU,Evaluating,CNC,3 - so/so
150,Kerkau Manufacturing,,CNC,
151,Cewar,Evaluating,CNC,3 - so/so
152,D&J Machining,,CNC,
153,Legault Machining LLC,,CNC,
154,Oswald Inc,,CNC,
155,Maquinados Especiales de Presición SA de CV (MEPSA),Challenger,CNC,4 - pretty good
156,Ward Precision Manufacturing,,CNC,
157,3DCUT OÜ,Evaluating,CNC,3 - so/so
158,AI Manufacturing,,CNC,
159,Accutech Enterprises,Evaluating,CNC,
160,Andre Lerouille,Evaluating,CNC,1 - aweful
161,Ascend Engineering,,CNC,
162,BEG MANUFACTURING,Evaluating,CNC,4 - pretty good
163,BGT Aerospace LLC,,CNC,
164,BN Precision Machining,,CNC,
165,BRC MetalWorks LLC,,CNC,
166,Baxter Aerospace,,CNC,
167,Betech Kunststoffen,Strategic,CNC,
168,CNC Prime,,CNC,
169,Cal.Co.M. Di Vivalda Ing. Pierluca,Evaluating,CNC,2 - pretty bad
170,Chemat Sp. z o.o.,Evaluating,CNC,2 - pretty bad
171,Choice Machine,,CNC,
172,Consolidated Machining LLC,,CNC,
173,DWD Precision,,CNC,
174,Desert West CNC,,CNC,
175,Dominik Żarczyński DTP,Evaluating,CNC,2 - pretty bad
176,"E-PLAST MX, S.A. DE C.V.",Evaluating,CNC,4 - pretty good
177,EMIPAGO SA DE CV,Evaluating,CNC,4 - pretty good
178,Echelon International,,CNC,
179,EuroHidra,Evaluating,CNC,3 - so/so
180,Excell Manufacturing Inc.,,CNC,
181,Express Prototype Machining,,CNC,
182,F&A Maschinenbau GbR,Evaluating,CNC,4 - pretty good
183,Fitzsimmons Corporation,,CNC,
184,"Five Axis Industries, Inc.",,CNC,
185,Fort Manufacturing,,CNC,
186,GFS Machining Inc.,,CNC,
187,Garcia Precision,,CNC,
188,HP Performance Inc.,,CNC,
189,Heromec,Evaluating,CNC,3 - so/so
190,Husky Machining LLC,,CNC,
191,IDMI SOLUCION SAS,Evaluating,CNC,4 - pretty good
192,J&M CNC,,CNC,
193,"Jiuhang Precision Co., Ltd",,CNC,
194,K-MP,Evaluating,CNC,3 - so/so
195,Kong Machining,,CNC,
196,Leftwing Precision,,CNC,
197,Lopso Insdustrial Aerospace Sa De Cv,Evaluating,CNC,4 - pretty good
