month,kpi,market,technology_name,value
2022-04-01,sourced_sales,NULL,NULL,3659217
2022-05-01,sourced_sales,NULL,NULL,4125744
2022-06-01,sourced_sales,NULL,NULL,4460542
2022-07-01,sourced_sales,NULL,NULL,4432573
2022-08-01,sourced_sales,NULL,NULL,4398850
2022-09-01,sourced_sales,NULL,NULL,4580063
2022-10-01,sourced_sales,NULL,NULL,4929216
2022-11-01,sourced_sales,NULL,NULL,5125630
2022-12-01,sourced_sales,NULL,NULL,4849761
2022-01-01,pre_calculated_margin,NULL,NULL,989242
2022-02-01,pre_calculated_margin,NULL,NULL,808313
2022-03-01,pre_calculated_margin,NULL,NULL,1043106
2022-04-01,pre_calculated_margin,NULL,NULL,1134357
2022-05-01,pre_calculated_margin,NULL,NULL,1320238
2022-06-01,pre_calculated_margin,NULL,NULL,1471979
2022-07-01,pre_calculated_margin,NULL,NULL,1462749
2022-08-01,pre_calculated_margin,NULL,NULL,1451621
2022-09-01,pre_calculated_margin,NULL,NULL,1511421
2022-10-01,pre_calculated_margin,NULL,NULL,1626641
2022-11-01,pre_calculated_margin,NULL,NULL,1691458
2022-12-01,pre_calculated_margin,NULL,NULL,1600421
2022-01-01,recognized_revenue,NULL,NULL,3146625
2022-02-01,recognized_revenue,NULL,NULL,3173558
2022-03-01,recognized_revenue,NULL,NULL,3195484
2022-04-01,recognized_revenue,NULL,NULL,3358349
2022-05-01,recognized_revenue,NULL,NULL,3586883
2022-06-01,recognized_revenue,NULL,NULL,3948666
2022-07-01,recognized_revenue,NULL,NULL,4211176
2022-08-01,recognized_revenue,NULL,NULL,4266238
2022-09-01,recognized_revenue,NULL,NULL,4305808
2022-10-01,recognized_revenue,NULL,NULL,4475545
2022-11-01,recognized_revenue,NULL,NULL,4731798
2022-12-01,recognized_revenue,NULL,NULL,4845411
2022-01-01,sales_employees,NULL,NULL,33
2022-02-01,sales_employees,NULL,NULL,38
2022-03-01,sales_employees,NULL,NULL,41
2022-04-01,sales_employees,NULL,NULL,43
2022-05-01,sales_employees,NULL,NULL,43
2022-06-01,sales_employees,NULL,NULL,46
2022-07-01,sales_employees,NULL,NULL,48
2022-08-01,sales_employees,NULL,NULL,48
2022-09-01,sales_employees,NULL,NULL,48
2022-10-01,sales_employees,NULL,NULL,48
2022-11-01,sales_employees,NULL,NULL,48
2022-12-01,sales_employees,NULL,NULL,48
